Date,Time,Vendor Name,Invoice No,Amount,Department,Description,DayOfWeek,SecondsSinceMidnight,RollingVendorSpend,InvoiceDeviation,IF_Score,Anomaly_IF,Anomaly_LOF,LOF_Score,OCSVM_Score,Anomaly_OCSVM,FraudRiskScore
2025-04-03,09:18:54,Combs-Fitzpatrick,INV-165,4282.36,Marketing,Training,3,33534,4282.36,0.9034359058819054,-0.08546663217958356,1,1,1.024572263672635,-0.41988011979123385,1,23.38064301449963
2025-04-03,14:47:56,Combs-Fitzpatrick,INV-130,3304.42,HR,Equipment,3,53276,7586.78,0.6971230060327216,-0.08809578350348063,1,1,0.9743354676411791,-0.5935930483867011,1,20.136581464068925
2025-04-03,11:46:40,Combs-Fitzpatrick,INV-118,6163.21,Operations,,3,42400,13749.99,1.3002328644696892,-0.08912372020649256,1,1,0.9685254307254316,-0.9810861985006767,1,14.490713413610598
2025-04-04,08:25:26,Combs-Fitzpatrick,INV-177,75000.0,Marketing,Maintenance,4,30326,88749.99,15.822512105741438,0.002177159155220043,-1,-1,2.541978760079194,-0.6829999806696172,1,42.593841433244314
2025-04-09,20:51:09,Combs-Fitzpatrick,INV-196,1650.82,HR,Software purchase,2,75069,90400.81000000001,0.3482682591253344,-0.0853740347332656,1,1,1.0178497711093648,-1.096053895384152,1,13.604545726755898
2025-04-10,18:18:24,Combs-Fitzpatrick,INV-138,3616.11,IT,,3,65904,94016.92000000001,0.7628792566759023,-0.09121838169671959,1,1,0.9609509369212077,-1.5232512387054022,1,6.5897822772927395
2025-04-13,18:25:40,Combs-Fitzpatrick,INV-165,3401.7,IT,,6,66340,97418.62000000001,0.7176458590680086,-0.08316030299326388,1,1,0.9788837849736444,-1.4680699842487641,1,7.751971607304774
2025-04-13,08:10:40,Combs-Fitzpatrick,INV-161,3411.48,IT,Maintenance,6,29440,100830.1,0.7197091146465974,-0.08769915747299317,1,1,0.970865126137799,-1.6803278008860225,1,4.533159770645835
2025-04-14,09:03:09,Combs-Fitzpatrick,INV-198,5118.15,HR,Training,0,32589,105948.25,1.0797598711200072,-0.08151911269373574,1,1,0.981031306443407,-1.761189104117431,1,3.609459873380658
2025-04-14,13:50:48,Combs-Fitzpatrick,INV-157,2285.01,Operations,Training,0,49848,108233.26000000001,0.4820613118232033,-0.09049727246485867,1,1,1.1054063965570946,-1.6837644844083712,1,6.3701981548817805
2025-04-18,22:04:07,Combs-Fitzpatrick,INV-126,5640.38,Finance,Training,4,79447,113873.64,1.1899330777464252,-0.10352048721262835,1,1,1.0822008952807087,-0.7957503439012612,1,18.565705495037438
2025-04-20,20:17:07,Combs-Fitzpatrick,INV-188,2579.3,HR,Training,6,73027,116452.94,0.5441467396578519,-0.08074896808878368,1,1,0.996503297613119,-0.9600625072657571,1,15.31220341869206
2025-04-21,07:40:21,Combs-Fitzpatrick,INV-135,3233.26,Marketing,Travel expenses,0,27621,119686.20000000001,0.6821106065467942,-0.0876249198431095,1,1,1.0963101930907404,-1.4303150685167623,1,9.909870361687902
2025-04-21,17:44:15,Combs-Fitzpatrick,INV-128,3782.09,Marketing,Maintenance,0,63855,123468.29000000001,0.7978955308000485,-0.08675688293801576,1,1,0.995693387561403,-1.2913343417116216,1,10.471577125165611
2025-04-22,21:43:37,Combs-Fitzpatrick,INV-133,10000.0,HR,Training,1,78217,133468.29,2.109668280765525,-0.054837945742715055,1,1,1.0587508939306474,-0.849952196057874,1,18.150935005394427
2025-04-22,06:03:33,Combs-Fitzpatrick,INV-152,2928.5,Marketing,Maintenance,1,21813,136396.79,0.617816356022184,-0.08929502088300872,1,1,0.9788644676606406,-1.084443429576286,1,13.156465215180848
