Date,Time,Vendor Name,Invoice No,Amount,Department,Description
28-04-2025,11:25:42,White Inc,INV-200,2701.6,Finance,Travel expenses
15-04-2025,9:09:50,White Inc,INV-170,2318.8,HR,Travel expenses
08-04-2025,2:41:02,"Velazquez, Santos and Davenport",INV-171,784.41,HR, 
15-05-2025,0:18:33,"Young, Murphy and Melton",INV-129,604.33,HR,Office supplies
07-06-2025,12:41:31,"Mendoza, Aguirre and Reed",INV-121,4242.45,Operations,Training
19-06-2025,15:05:20,White Inc,INV-135,2921.49,HR, 
09-05-2025,7:43:47,"Moss, Hale and Cardenas",INV-100,1803.93,IT,Training
13-06-2025,11:33:07,"Russo, Fitzgerald and Guzman",INV-159,2313.43,Finance,Training
02-05-2025,21:37:34,"Walters, Newton and Patterson",INV-101,2875.61,HR,Training
22-06-2025,13:41:13,"Friedman, Adkins and Lee",INV-169,1665.12,Finance,
10-06-2025,8:31:13,Combs-Fitzpatrick,INV-200,2988.67,Operations,Training
23-04-2025,16:51:38,Smith-Lyons,INV-187,3095.84,Marketing,Travel expenses
18-05-2025,9:01:47,"Walters, Newton and Patterson",INV-161,4985.66,IT,Software purchase
03-04-2025,17:08:14,Dunn-Harris,INV-142,2984.2,Marketing,Equipment
09-05-2025,16:35:32,"Jefferson, Gallagher and Tucker",INV-126,1818.72,Operations,Maintenance
17-05-2025,20:15:09,"Young, Murphy and Melton",INV-140,2101.82,HR,License renewal
27-05-2025,9:28:03,"Mendoza, Aguirre and Reed",INV-127,3194.87,Marketing,Training
24-04-2025,16:33:33,White Inc,INV-140,4406.13,Marketing,Equipment
22-06-2025,5:18:09,Gonzalez-Santiago,INV-115,5000,HR,Equipment
14-06-2025,21:18:19,Combs-Fitzpatrick,INV-184,2882.03,Operations,Training
17-04-2025,16:18:33,Marks Ltd,INV-125,2848.08,Finance,Software purchase
18-05-2025,12:31:47,"Hunter, Garcia and Acevedo",INV-165,4551.92,Marketing,Software purchase
13-05-2025,17:49:46,"Walters, Newton and Patterson",INV-178,1577.96,HR,Consulting fee
15-06-2025,13:04:12,Young Inc,INV-179,4010.68,Finance, 
09-05-2025,10:30:07,"Russo, Fitzgerald and Guzman",INV-127,2899.19,Finance,Utility bill
29-05-2025,16:49:50,Young Inc,INV-172,704.49,IT,
29-05-2025,21:14:03,"Jefferson, Gallagher and Tucker",INV-176,1820.67,Finance,Software purchase
17-06-2025,20:51:54,"Young, Murphy and Melton",INV-141,2253.41,HR,Travel expenses
21-05-2025,20:46:22,"Walters, Newton and Patterson",INV-193,4339.8,Finance,License renewal
22-06-2025,14:05:30,Hobbs Inc,INV-132,2636.68,IT,Utility bill
13-04-2025,18:25:40,Combs-Fitzpatrick,INV-165,3401.7,IT,
30-06-2025,17:18:12,"Moss, Hale and Cardenas",INV-183,5580.38,HR,Utility bill
06-06-2025,7:37:58,"Friedman, Adkins and Lee",INV-127,50000,Finance,Office supplies
17-05-2025,8:11:47,"Mendoza, Aguirre and Reed",INV-199,4570.7,Finance,Maintenance
12-06-2025,17:53:58,"Russo, Fitzgerald and Guzman",INV-144,2000,Marketing,Training
18-05-2025,0:29:23,Dunn-Harris,INV-165,2777.34,Operations,Equipment
28-05-2025,14:16:57,Lucas-Smith,INV-129,3094.78,IT,Software purchase
17-04-2025,5:29:52,Gonzalez-Santiago,INV-127,3280.78,Operations,Software purchase
08-06-2025,8:47:09,Young Inc,INV-164,10000,Operations,License renewal
09-04-2025,15:28:46,"Russo, Fitzgerald and Guzman",INV-171,638.6,IT,Consulting fee
17-05-2025,5:05:54,"Velazquez, Santos and Davenport",INV-144,5385.18,IT,License renewal
13-06-2025,0:10:21,"Russo, Fitzgerald and Guzman",INV-194,10000,Operations,Office supplies
14-05-2025,6:22:33,"Young, Murphy and Melton",INV-193,1897.34,Marketing,Travel expenses
11-04-2025,0:56:39,"Velazquez, Santos and Davenport",INV-184,4860.08,Marketing,Maintenance
05-06-2025,8:04:38,"Walters, Newton and Patterson",INV-156,1017.73,Operations,
30-04-2025,20:55:12,"Hunter, Garcia and Acevedo",INV-193,4000,Operations, 
29-06-2025,7:24:52,Murray Inc,INV-125,3283.33,Operations,License renewal
17-05-2025,0:16:49,Lucas-Smith,INV-128,4545.88,Finance,Office supplies
29-04-2025,20:58:16,"Velazquez, Santos and Davenport",INV-124,2193.72,Finance,Travel expenses
14-05-2025,17:15:09,"Russo, Fitzgerald and Guzman",INV-162,1326.83,HR,Software purchase
